feature,PSI_1_2,PSI_1_3,PSI_1_4,PSI_1_5,PSI_1_6,PSI_1_7,PSI_1_8,PSI_1_9,PSI_1_10,PSI_1_11,PSI_1_12,PSI_1_2,PSI_2_3,PSI_3_4,PSI_4_5,PSI_5_6,PSI_6_7,PSI_7_8,PSI_8_9,PSI_9_10,PSI_10_11,PSI_11_12
bc_open_to_buy,0.00381344738016,0.00187733259227,0.00417764881847,0.00394152104577,0.00809537616472,0.0099226785426,0.00840816729002,0.0105127727253,0.00954109781118,0.0100116234475,0.0133108905567,0.00381344738016,0.00379918030072,0.00104186225747,0.00171616123976,0.0020029840166,0.000591250382269,0.00058252036505,0.00115539585195,0.000594598540132,0.000208884828622,0.000340432391723
bc_util,0.00273739166073,0.00192595947183,0.00484693175623,0.00740265345832,0.0129622438967,0.0121625560982,0.00790994829202,0.00955682652448,0.00987831140432,0.0147892720187,0.0202161886763,0.00273739166073,0.00182052336349,0.00222701322484,0.00112988804438,0.00159235574166,0.000229747486776,0.000923782330821,0.00090984842423,0.00145873403056,0.00111294900375,0.000903540418902
chargeoff_within_12_mths,9.67425906308e-07,2.58373536246e-10,0.000136735022839,7.76585618502e-05,1.1830627003e-05,4.66526617161e-05,2.15099400159e-07,1.10989639253e-05,5.82003608781e-05,0.000109025349622,8.92360157592e-06,9.67425906308e-07,9.36064160202e-07,0.000136359283748,8.2973916343e-06,2.88647417439e-05,1.14960642209e-05,4.05317611145e-05,8.22379339508e-06,1.84662471231e-05,7.90883716597e-06,5.55609955345e-05
delinq_amnt,2.84441626353e-05,6.23447683584e-05,2.97391336792e-05,1.03609284703e-05,1.06894592576e-07,1.94806644962e-05,8.94778277059e-07,9.74609958961e-06,8.64879996271e-05,6.83943838855e-05,3.50846227831e-05,2.84441626353e-05,6.56557399235e-06,5.96478276599e-06,7.5212749114e-05,1.25726634995e-05,1.67013665143e-05,2.87260191678e-05,1.65472208661e-05,3.8163258726e-05,1.06015659863e-06,5.50663676762e-06
mo_sin_old_il_acct,0.000548594369469,0.0024109426816,0.00228685466707,0.00192198127658,0.00329966427368,0.00326109799811,0.00327135719984,0.00233806707634,0.00143889961244,0.00153447121771,0.00149505738868,0.000548594369469,0.00120050236868,0.000937207329808,0.000600541647031,0.000841733326134,0.000686372766741,0.000155657103517,0.000559500426363,0.00109397019011,0.000364100624264,0.000671134842642
mo_sin_old_rev_tl_op,0.000947123357091,0.0011017306202,0.000999936404362,0.00199639207242,0.00248341318532,0.00100725998935,0.00192802717654,0.00278617998476,0.00344322307881,0.00499226495045,0.00428107347922,0.000947123357091,0.000246172875496,0.000726724265571,0.00160412051111,0.000298489991074,0.00174954332759,0.00082215461269,0.00144625461714,0.000827046768208,0.000590534177828,0.000836903303207
mo_sin_rcnt_rev_tl_op,0.00376434599662,0.0230595144863,0.0173412310108,0.01311363589,0.011549033353,0.0155980453073,0.0177080484804,0.0114333146731,0.0150450894402,0.0141044491089,0.00185608817147,0.00376434599662,0.00959401970838,0.0014163999757,0.0111982377967,0.00363570857852,0.0060179625395,0.00185923804304,0.00309531854559,0.00308055586197,0.000324868938681,0.00540673376447
mo_sin_rcnt_tl,0.00887603611776,0.0209363708215,0.0166324721749,0.0163424000275,0.0183018630906,0.0122617274549,0.0118806931204,0.00878696189071,0.00717890334123,0.00851177361811,0.00352729263722,0.00887603611776,0.00761849902997,0.00254188230989,0.0089633284717,0.00157419964302,0.00345683845866,0.0072395476466,0.00401917796478,0.00354506124928,0.00127945349615,0.003726821521
mort_acc,0.000543483578202,0.000356709335466,0.000607308169386,0.00155842445177,0.00348787022869,0.00215394187785,0.00301247643892,0.00243652018971,0.00265300573203,0.00533151044041,0.00460276814857,0.000543483578202,0.000381993780451,0.000922366497426,0.00100927369097,0.00101973952508,0.000896688089004,0.000107710811363,0.000268900963824,0.000524483187605,0.000568705351458,0.000576745588208
mths_since_recent_bc,0.00141795798894,0.00465910947279,0.00604087359552,0.00914920389936,0.0115413900249,0.0124662989957,0.0140055355734,0.00758140840446,0.0052858501909,0.00494778353035,0.00339703736324,0.00141795798894,0.00237212724134,0.000770434227409,0.00163428644242,0.00287846902402,0.00164417964685,0.00196466109554,0.00317216684187,0.00285667970298,0.000237995518914,0.00337440542736
